MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
3/17/2021 18:16:24,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,52,0,13.51,nan
3/17/2021 18:16:40,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,53,0,8.10,nan
3/17/2021 18:16:53,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,54,0,6.19,nan
3/17/2021 18:17:08,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,55,0,8.10,nan
3/17/2021 18:17:16,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,56,0,1.83,nan
3/17/2021 18:17:34,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,57,0,10.21,nan
3/17/2021 18:17:49,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,58,0,8.36,nan
3/17/2021 18:34:18,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,59,0,Timed_out,nan
3/17/2021 18:34:35,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,60,0,9.61,nan
3/17/2021 18:45:25,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,61,0,Timed_out,nan
3/17/2021 19:25:03,1.4.2,FreeFeed,10,4.17,1,1,Pellet,Left,0,0,62,0,Timed_out,nan
3/17/2021 19:28:22,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,63,0,Timed_out,nan
3/17/2021 19:41:12,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,64,0,Timed_out,nan
3/17/2021 19:41:22,1.4.2,FreeFeed,10,4.17,1,1,Pellet,Left,0,0,65,0,2.03,nan
3/17/2021 19:41:35,1.4.2,FreeFeed,10,4.17,1,1,Pellet,Left,0,0,66,0,5.79,nan
3/17/2021 19:41:48,1.4.2,FreeFeed,10,4.17,1,1,Pellet,Left,0,0,67,0,6.51,nan
3/17/2021 19:42:00,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,68,0,4.40,nan
3/17/2021 19:42:13,1.4.2,FreeFeed,10,4.17,1,1,Pellet,Left,0,0,69,0,5.26,nan
3/17/2021 19:42:25,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,70,0,5.26,nan
3/17/2021 19:42:37,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,71,0,3.81,nan
3/17/2021 19:42:51,1.4.2,FreeFeed,10,4.17,1,1,Pellet,Left,0,0,72,0,6.71,nan
3/17/2021 19:43:04,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,73,0,6.05,nan
3/17/2021 19:43:18,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,74,0,7.30,nan
3/17/2021 19:43:33,1.4.2,FreeFeed,10,4.18,1,1,Pellet,Left,0,0,75,0,6.91,nan
3/17/2021 19:43:46,1.4.2,FreeFeed,10,4.17,1,1,Pellet,Left,0,0,76,0,5.72,nan
3/17/2021 19:44:02,1.4.2,FreeFeed,10,4.16,1,1,Pellet,Left,0,0,77,0,9.55,nan
