MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
3/18/2021 9:35:40,1.4.2,FreeFeed,11,3.75,36,1,Pellet,Left,0,0,1,0,Timed_out,nan
3/18/2021 9:35:51,1.4.2,FreeFeed,11,3.75,3,1,Pellet,Left,0,0,2,0,1.90,nan
3/18/2021 9:36:05,1.4.2,FreeFeed,11,3.75,2,1,Pellet,Left,0,0,3,0,6.05,nan
3/18/2021 9:36:18,1.4.2,FreeFeed,11,3.75,2,1,Pellet,Left,0,0,4,0,5.26,nan
3/18/2021 9:36:59,1.4.2,FreeFeed,11,3.75,2,1,Pellet,Left,0,0,5,0,33.47,nan
3/18/2021 9:37:37,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,6,0,5.32,nan
3/18/2021 9:37:56,1.4.2,FreeFeed,11,3.75,6,1,Pellet,Left,0,0,7,0,0.59,nan
3/18/2021 9:38:33,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,8,0,0.45,nan
3/18/2021 9:38:47,1.4.2,FreeFeed,11,3.75,3,1,Pellet,Left,0,0,9,0,1.97,nan
3/18/2021 9:39:06,1.4.2,FreeFeed,11,3.75,6,1,Pellet,Left,0,0,10,0,0.46,nan
3/18/2021 9:39:42,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,11,0,2.03,nan
3/18/2021 9:40:05,1.4.2,FreeFeed,11,3.75,5,1,Pellet,Left,0,0,12,0,9.08,nan
3/18/2021 9:40:43,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,13,0,3.48,nan
3/18/2021 9:43:06,1.4.2,FreeFeed,11,3.75,5,1,Pellet,Left,0,0,14,0,Timed_out,nan
3/18/2021 9:43:47,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,15,0,7.56,nan
3/18/2021 9:44:07,1.4.2,FreeFeed,11,3.75,6,1,Pellet,Left,0,0,16,0,1.97,nan
3/18/2021 9:45:02,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,17,0,20.55,nan
3/18/2021 9:45:25,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,18,0,10.93,nan
3/18/2021 9:45:59,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,19,0,0.85,nan
3/18/2021 9:46:20,1.4.2,FreeFeed,11,3.74,6,1,Pellet,Left,0,0,20,0,3.35,nan
3/18/2021 9:47:48,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,21,0,53.12,nan
3/18/2021 9:48:14,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,22,0,13.70,nan
3/18/2021 9:48:39,1.4.2,FreeFeed,11,3.75,3,1,Pellet,Left,0,0,23,0,14.70,nan
3/18/2021 9:49:28,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,24,0,15.08,nan
3/18/2021 9:50:35,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,25,0,34.56,nan
3/18/2021 9:51:17,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,26,0,12.83,nan
3/18/2021 9:51:53,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,27,0,2.56,nan
3/18/2021 9:53:50,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,28,0,Timed_out,nan
3/18/2021 9:54:18,1.4.2,FreeFeed,11,3.74,6,1,Pellet,Left,0,0,29,0,9.29,nan
3/18/2021 9:54:55,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,30,0,3.48,nan
3/18/2021 9:55:40,1.4.2,FreeFeed,11,3.75,6,1,Pellet,Left,0,0,31,0,26.73,nan
3/18/2021 9:56:35,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,32,0,21.81,nan
3/18/2021 9:58:00,1.4.2,FreeFeed,11,3.74,6,1,Pellet,Left,0,0,33,0,Timed_out,nan
3/18/2021 9:58:41,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,34,0,5.32,nan
3/18/2021 10:00:19,1.4.2,FreeFeed,11,3.75,3,1,Pellet,Left,0,0,35,0,Timed_out,nan
3/18/2021 10:01:30,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,36,0,59.32,nan
3/18/2021 10:02:44,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,37,0,40.23,nan
3/18/2021 10:04:21,1.4.2,FreeFeed,11,3.75,6,1,Pellet,Left,0,0,38,0,Timed_out,nan
3/18/2021 10:05:00,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,39,0,7.89,nan
3/18/2021 10:05:35,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,40,0,1.70,nan
3/18/2021 10:06:08,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,41,0,1.50,nan
3/18/2021 10:06:43,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,42,0,1.77,nan
3/18/2021 10:07:33,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,43,0,17.38,nan
3/18/2021 10:08:27,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,44,0,21.33,nan
3/18/2021 10:10:46,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,45,0,Timed_out,nan
3/18/2021 10:11:47,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,46,0,48.73,nan
3/18/2021 10:14:21,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,47,0,Timed_out,nan
3/18/2021 10:20:07,1.4.2,FreeFeed,11,3.75,5,1,Pellet,Left,0,0,48,0,Timed_out,nan
3/18/2021 10:26:05,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,49,0,Timed_out,nan
3/18/2021 10:26:22,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,50,0,4.74,nan
3/18/2021 10:55:06,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,51,0,Timed_out,nan
3/18/2021 10:55:41,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,52,0,0.65,nan
3/18/2021 10:55:50,1.4.2,FreeFeed,11,3.74,2,1,Pellet,Left,0,0,53,0,0.39,nan
3/18/2021 10:55:59,1.4.2,FreeFeed,11,3.74,2,1,Pellet,Left,0,0,54,0,1.24,nan
3/18/2021 10:56:57,1.4.2,FreeFeed,11,3.75,11,1,Pellet,Left,0,0,55,0,22.40,nan
3/18/2021 10:57:51,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,56,0,42.34,nan
3/18/2021 10:59:25,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,57,0,Timed_out,nan
3/18/2021 11:00:05,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,58,0,4.93,nan
3/18/2021 11:00:41,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,59,0,24.34,nan
3/18/2021 11:01:28,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,60,0,12.30,nan
3/18/2021 11:02:26,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,61,0,46.94,nan
3/18/2021 11:03:14,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,62,0,13.29,nan
3/18/2021 11:04:02,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,63,0,36.51,nan
3/18/2021 11:05:15,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,64,0,39.96,nan
3/18/2021 11:06:13,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,65,0,23.38,nan
3/18/2021 11:06:37,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,66,0,12.91,nan
3/18/2021 11:08:12,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,67,0,Timed_out,nan
3/18/2021 11:11:44,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,68,0,Timed_out,nan
3/18/2021 11:12:17,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,69,0,21.09,nan
3/18/2021 11:15:37,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,70,0,Timed_out,nan
3/18/2021 11:16:11,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,71,0,22.94,nan
3/18/2021 11:32:27,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,72,0,Timed_out,nan
3/18/2021 11:45:22,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,73,0,Timed_out,nan
3/18/2021 11:55:44,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,74,0,Timed_out,nan
3/18/2021 12:09:53,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,75,0,Timed_out,nan
3/18/2021 12:10:48,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,76,0,21.74,nan
3/18/2021 12:11:25,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,77,0,23.21,nan
3/18/2021 12:12:01,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,78,0,0.85,nan
3/18/2021 12:12:15,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,79,0,2.82,nan
3/18/2021 12:12:54,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,80,0,4.00,nan
3/18/2021 12:15:44,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,81,0,Timed_out,nan
3/18/2021 12:17:44,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,82,0,Timed_out,nan
3/18/2021 12:18:31,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,83,0,14.41,nan
3/18/2021 12:41:39,1.4.2,FreeFeed,11,3.74,1,1,Pellet,Left,0,0,84,0,Timed_out,nan
3/18/2021 12:42:41,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,85,0,27.68,nan
3/18/2021 13:11:37,1.4.2,FreeFeed,11,3.74,4,1,Pellet,Left,0,0,86,0,Timed_out,nan
3/18/2021 13:12:40,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,87,0,30.45,nan
3/18/2021 13:15:09,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,88,0,Timed_out,nan
3/18/2021 13:15:55,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,89,0,13.23,nan
3/18/2021 13:16:38,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,90,0,10.39,nan
3/18/2021 13:17:18,1.4.2,FreeFeed,11,3.74,11,1,Pellet,Left,0,0,91,0,6.11,nan
